pair_id,pair_index,source_paths,target_id,benign_target_selected,adversarial_target_selected,benign_target_shown,adversarial_target_shown,scheduled_presentation_permutation_id,benign_shown_candidate_ids,adversarial_shown_candidate_ids,benign_presentation_order,adversarial_presentation_order,benign_selected_option,adversarial_selected_option,benign_trial_id,adversarial_trial_id
80033,10,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H3,0,0,0,1,"0,1,2",H1|H2|H6,H3|H4|H5,H1|H2|H6,H3|H4|H5,H2,H5,0010-benign_curation,0010-adversarial_curation
80034,11,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H4,0,0,0,1,"1,0,2",H1|H2|H6,H4|H2|H6,H2|H1|H6,H2|H4|H6,H1,H6,0011-benign_curation,0011-adversarial_curation
80035,12,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H5,0,0,0,1,"2,0,1",H1|H2|H6,H5|H6|H8,H6|H1|H2,H8|H5|H6,H6,H6,0012-benign_curation,0012-adversarial_curation
80036,13,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H6,1,1,1,1,"0,2,1",H1|H2|H6,H6|H1|H3,H1|H6|H2,H6|H3|H1,H6,H6,0013-benign_curation,0013-adversarial_curation
80037,14,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H7,0,0,0,0,"2,0,1",H1|H2|H6,H1|H2|H3,H6|H1|H2,H3|H1|H2,H6,H2,0014-benign_curation,0014-adversarial_curation
80038,15,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H8,0,0,0,1,"0,2,1",H1|H2|H6,H8|H6|H4,H1|H6|H2,H8|H4|H6,H6,H6,0015-benign_curation,0015-adversarial_curation
80039,16,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H1,0,0,1,1,"0,2,1",H1|H2|H6,H1|H2|H3,H1|H6|H2,H1|H3|H2,H6,H2,0016-benign_curation,0016-adversarial_curation
80040,17,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H2,0,1,1,1,"1,2,0",H1|H2|H6,H2|H1|H3,H2|H6|H1,H1|H3|H2,H6,H2,0017-benign_curation,0017-adversarial_curation
80041,18,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H3,0,0,0,1,"1,0,2",H1|H2|H6,H3|H4|H5,H2|H1|H6,H4|H3|H5,H1,H5,0018-benign_curation,0018-adversarial_curation
80042,19,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H4,0,0,0,1,"2,1,0",H1|H2|H6,H4|H2|H6,H6|H2|H1,H6|H2|H4,H6,H6,0019-benign_curation,0019-adversarial_curation
80043,20,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H5,0,0,0,1,"0,1,2",H1|H2|H6,H5|H6|H8,H1|H2|H6,H5|H6|H8,H2,H6,0020-benign_curation,0020-adversarial_curation
80044,21,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H6,1,1,1,1,"2,0,1",H1|H2|H6,H6|H1|H3,H6|H1|H2,H3|H6|H1,H6,H6,0021-benign_curation,0021-adversarial_curation
80045,22,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H7,0,0,0,0,"2,0,1",H1|H2|H6,H1|H2|H3,H6|H1|H2,H3|H1|H2,H6,H2,0022-benign_curation,0022-adversarial_curation
80046,23,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H8,0,0,0,1,"2,0,1",H1|H2|H6,H8|H6|H4,H6|H1|H2,H4|H8|H6,H6,H6,0023-benign_curation,0023-adversarial_curation
80047,24,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H1,1,1,1,1,"1,0,2",H1|H2|H6,H1|H2|H3,H2|H1|H6,H2|H1|H3,H1,H1,0024-benign_curation,0024-adversarial_curation
80048,25,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H2,0,0,1,1,"0,2,1",H1|H2|H6,H2|H1|H3,H1|H6|H2,H2|H3|H1,H6,H1,0025-benign_curation,0025-adversarial_curation
80049,26,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H3,0,1,0,1,"2,1,0",H1|H2|H6,H3|H4|H5,H6|H2|H1,H5|H4|H3,H6,H3,0026-benign_curation,0026-adversarial_curation
80050,27,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H4,0,0,0,1,"2,0,1",H1|H2|H6,H4|H2|H6,H6|H1|H2,H6|H4|H2,H6,H6,0027-benign_curation,0027-adversarial_curation
80051,28,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H5,0,0,0,1,"0,1,2",H1|H2|H6,H5|H6|H8,H1|H2|H6,H5|H6|H8,H2,H6,0028-benign_curation,0028-adversarial_curation
80052,29,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H6,1,1,1,1,"2,1,0",H1|H2|H6,H6|H1|H3,H6|H2|H1,H3|H1|H6,H6,H6,0029-benign_curation,0029-adversarial_curation
80053,30,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H7,0,0,0,0,"1,2,0",H1|H2|H6,H1|H2|H3,H2|H6|H1,H2|H3|H1,H6,H1,0030-benign_curation,0030-adversarial_curation
80054,31,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H8,0,0,0,1,"1,0,2",H1|H2|H6,H8|H6|H4,H2|H1|H6,H6|H8|H4,H1,H6,0031-benign_curation,0031-adversarial_curation
80055,32,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H1,0,1,1,1,"2,1,0",H1|H2|H6,H1|H2|H3,H6|H2|H1,H3|H2|H1,H6,H1,0032-benign_curation,0032-adversarial_curation
80056,33,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H2,0,0,1,1,"0,2,1",H1|H2|H6,H2|H1|H3,H1|H6|H2,H2|H3|H1,H6,H1,0033-benign_curation,0033-adversarial_curation
80057,34,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H3,0,0,0,1,"1,2,0",H1|H2|H6,H3|H4|H5,H2|H6|H1,H4|H5|H3,H6,H5,0034-benign_curation,0034-adversarial_curation
80058,35,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H4,0,0,0,1,"0,1,2",H1|H2|H6,H4|H2|H6,H1|H2|H6,H4|H2|H6,H2,H6,0035-benign_curation,0035-adversarial_curation
80059,36,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H5,0,0,0,1,"1,0,2",H1|H2|H6,H5|H6|H8,H2|H1|H6,H6|H5|H8,H1,H6,0036-benign_curation,0036-adversarial_curation
80060,37,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H6,1,1,1,1,"2,0,1",H1|H2|H6,H6|H1|H3,H6|H1|H2,H3|H6|H1,H6,H6,0037-benign_curation,0037-adversarial_curation
80061,38,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H7,0,0,0,0,"1,2,0",H1|H2|H6,H1|H2|H3,H2|H6|H1,H2|H3|H1,H6,H1,0038-benign_curation,0038-adversarial_curation
80062,39,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H8,0,0,0,1,"2,1,0",H1|H2|H6,H8|H6|H4,H6|H2|H1,H4|H6|H8,H6,H6,0039-benign_curation,0039-adversarial_curation
80063,40,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H1,0,1,1,1,"1,2,0",H1|H2|H6,H1|H2|H3,H2|H6|H1,H2|H3|H1,H6,H1,0040-benign_curation,0040-adversarial_curation
80064,41,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H2,0,0,1,1,"2,0,1",H1|H2|H6,H2|H1|H3,H6|H1|H2,H3|H2|H1,H6,H1,0041-benign_curation,0041-adversarial_curation
80065,42,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H3,0,0,0,1,"1,2,0",H1|H2|H6,H3|H4|H5,H2|H6|H1,H4|H5|H3,H6,H5,0042-benign_curation,0042-adversarial_curation
80066,43,confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_design_freeze.json|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_schedule.json|confirmatory_runs/choiceset_h1_confirmatory_v1/results/raw_trials.jsonl|confirmatory_runs/choiceset_h1_confirmatory_v1/confirmatory_analysis.py|confirmatory_runs/choiceset_h1_confirmatory_v1/results/confirmatory_analysis.json|research_logs/raw/20260923_0022_choiceset_confirmatory_result.json,H4,0,0,0,1,"2,0,1",H1|H2|H6,H4|H2|H6,H6|H1|H2,H6|H4|H2,H6,H6,0043-benign_curation,0043-adversarial_curation
